764.0,764,764,0,0.0,Human
764.0,764,764,0,0.0,Human
764.0,764,764,0,0.0,Human
764.0,764,764,0,0.0,Human
764.0,764,764,0,0.0,Human
764.1133333333333,771,764,7,0.4604888888888886,Human
764.1,770,764,6,0.3566666666666667,Human
764.1066666666667,769,764,5,0.25528888888888884,Human
764.2066666666667,769,764,5,0.6306222222222222,Human
764.1866666666666,771,764,7,0.7784888888888889,Human
760.7066666666667,771,259,512,1698.367288888889,Human
764.2333333333333,770,764,6,0.8455555555555554,Human
764.2533333333333,769,764,5,0.682488888888889,Human
764.1,771,764,7,0.4233333333333334,Human
764.1266666666667,770,763,7,0.497288888888889,Human
764.1666666666666,771,764,7,0.4988888888888889,Human
764.1933333333334,770,764,6,0.5026222222222223,Human
764.18,772,764,8,0.8809333333333332,Human
764.2266666666667,771,764,7,0.7886222222222223,Human
764.36,771,764,7,1.3370666666666668,Human
764.06,767,764,3,0.12306666666666664,Human
764.1533333333333,769,764,5,0.47648888888888885,Human
764.2,770,764,6,0.6133333333333334,Human
764.1333333333333,770,752,18,1.7688888888888892,Human
764.14,769,764,5,0.4004000000000002,Human
764.1733333333333,769,764,5,0.4366222222222222,Human
764.16,771,764,7,0.7477333333333334,Human
764.1,769,764,5,0.29,Human
764.1333333333333,772,763,9,0.7288888888888891,Human
764.1933333333334,770,764,6,0.702622222222222,Human
764.1933333333334,771,764,7,0.8492888888888891,Human
764.1333333333333,767,764,3,0.24888888888888885,Human
764.12,767,764,3,0.2522666666666668,Human
764.08,768,764,4,0.1802666666666666,Human
764.16,769,763,6,0.49440000000000006,Human
764.1133333333333,770,764,6,0.35382222222222226,Human
764.38,771,764,7,1.5022666666666664,Human
764.1666666666666,771,764,7,0.6988888888888891,Human
764.12,770,764,6,0.3989333333333334,Human
764.2066666666667,770,760,10,0.8572888888888889,Human
764.2666666666667,772,764,8,1.3155555555555554,Human
764.1,767,764,3,0.22333333333333338,Human
764.1733333333333,771,764,7,0.7299555555555554,Human
764.1066666666667,771,764,7,0.4019555555555555,Human
764.2133333333334,770,764,6,0.8078222222222221,Human
764.1666666666666,770,764,6,0.6055555555555554,Human
740.4066666666666,769,0,769,16438.401288888883,Human
739.8733333333333,769,0,769,16295.48395555556,Human
764.1733333333333,768,764,4,0.36995555555555554,Human
758.92,771,315,456,2012.700266666667,Human
764.2666666666667,772,764,8,0.8088888888888888,Human
740.48,769,0,769,16614.796266666668,Human
764.1333333333333,769,764,5,0.3155555555555556,Human
764.1533333333333,767,764,3,0.2898222222222222,Human
764.2333333333333,770,764,6,0.6322222222222221,Human
764.12,766,764,2,0.14560000000000003,Human
764.38,769,764,5,0.8355999999999998,Human
764.1933333333334,769,764,5,0.40928888888888887,Human
764.18,769,764,5,0.4275999999999999,Human
764.2933333333333,770,764,6,0.7806222222222224,Human
764.2533333333333,772,764,8,0.8691555555555552,Human
764.24,768,764,4,0.5157333333333333,Human
744.0733333333334,767,0,767,13709.521288888885,Human
764.2333333333333,770,764,6,0.49888888888888877,Human
764.2,767,764,3,0.23999999999999996,Human
752.2733333333333,770,0,770,8195.278622222222,Human
764.2733333333333,769,764,5,0.6786222222222223,Human
764.1333333333333,767,764,3,0.2222222222222223,Human
764.2333333333333,767,764,3,0.4055555555555555,Human
764.2,771,764,7,0.5200000000000002,Human
764.24,769,764,5,0.5424000000000001,Human
764.2133333333334,769,764,5,0.46115555555555543,Human
764.16,768,764,4,0.2944,Human
764.2266666666667,767,763,4,0.3752888888888889,Human
764.28,770,764,6,0.6016000000000002,Human
764.34,770,764,6,0.8110666666666666,Human
764.2133333333334,769,764,5,0.3144888888888888,Human
764.2466666666667,767,764,3,0.2524888888888888,Human
764.3666666666667,771,764,7,1.0588888888888892,Human
764.3,768,764,4,0.3966666666666666,Human
740.1933333333334,771,0,771,17042.64928888889,Human
764.2266666666667,768,764,4,0.30862222222222224,Human
764.3066666666666,773,763,10,0.8926222222222218,Human
763.4533333333334,770,606,164,167.42115555555557,Human
744.1933333333334,767,0,767,14718.902622222224,Human
758.9466666666667,770,78,692,3163.197155555557,Human
764.34,772,764,8,0.8510666666666669,Human
